"","x"
"916","ALL ABOUT COVID-19

Learn about the definition of terms, dos and don'ts, symptoms, and effects, timeline and local response re COVID, and an overview of the Philippine healthcare system.

Download the infographic here: "
"917","March 14 cases are infections from March 1 to 7... If new cases drop by next week, community quarantine is successful.. If not, it just spread the virus in the provinces after the massive exodus of metro manilans... "
"918","To those people who bought boxes of masks, if you are just staying home, please, better donate ur extra to our frontliners. Juz keep enough. Our doctors, nurses, those who are in the frontline need it more than u do. Please, do not hoard. Do not add to the problem.

"
"919","Some of the info we need to know. Passed on to me by a friend who is in the frontline. 

"
"920","Facebook has turned into a comfort zone for arrogant and dense people. <U+0001F92E> Planning to deactivate my account again (I had previously deactivated during my board exam period). And this time, I wanna do it for good. Sobrang kadiri. "
"921","Our company is in a crucial situation right now as most companies need to submit their financial reports in SEC this March-April... but how about our safety and health?

Can DOLE mandate other benefits for us private employees? "
"922","If there were medical team who were able to mitigate covid in china, why dont they cascade how? So they do not need to travel and spread the cure immediately "
"923","Prevention is better than cure.

"
"924","You can rant as long as you will also provide suggestion. "
"925","The best way to be safe in corona  virus is to stay home "
"926","Phillipine Star remains throwing shade <U+0001F44F>

"
"927","Keep safe everyone<U+2764> "
"928","We have to stay away from each other to stay alive. This is not a movie plot. This is our reality. 
Please cooperate.  "
"929","Prioritize your health above work. Paid or not, don't expect me to report on monday <U+0001F602> "
"930","Let us all hope for better days ahead of us. Boracay made it through its closure back in 2018.. and this pandemic will soon disappear. So I guess, I have all the beach for me here in my home island. <U+0001F3D6> "
"931","From 64 to 98 real quick. "
"932","It can not flatten the curve without testing; without preparing for ventilators, and other support systems. 

It can not "
"933","Thank Duterte for this. No test for "
"934","When the mass exodus happened, bus stops were packed. It was genius calling for a lockdown. Defated Social distancing perfectly. Great way to spread "
"935","Please let us move forward.
Stop blaming in these trying times.
We need to do our part  now. Set aside Political Differences.

Philippines will be safe soon!!!

"
"936","Like hunkering during a snowstorm "
"937","keep safe everyone!<U+0001F64F>
"
"938","Stay safe and sane during "
"939","Haaaays. Ingat pinas. Be safe everyone. <U+0001F64F>"
"940","Be an Angel. Pray for everyone's safety, and help the world heal.
Captured by: "
"941","praying for everyone's safety. we are all in this together <U+0001F607><U+0001F64F> "
"942","Instead of panicking, be knowledgeable of things. :))
"
"943","Why are these people calling it martial law? It's just funny how Filipinos react with the current situation.

As far as I know, community quarantine, lockdown, and martial law are different.

"
"944","instead of ranting and questioning the government's way of making solutions for this matter why don't you ask yourself of what you can contribute to this?"
"945","PEOPLE OF THE PHILIPPINES please read and UNDERSTAND. Wag puro dada "
"946","I pray for everyone because we are all in this together. Keep the faith<U+0001F64F><U+0001F3FD> "
"947","Lord please have mercy on us <U+0001F62D><U+0001F614><U+0001F625><U+0001F64F> "
"948","I miss you Kim Seokjin,im not so active/updated this past few days due to "
"949","It is our responsibility to follow rules to contain this virus. It is our duty as a Human and a Filipino to be mindful to our dear brothers and sisters. Wag na natin hanapan ng flaws yung mga guidelines natin especially on social distancing. "
"950","Please be considerate of others. The more you hoard the stocks of disinfectants, the more you make the virus spread. Let all the people buy such good stuff. Think of everyone's welfare. Do not be selfish. 
"
"951","Out of 808 that has been tested about 98 persons has been confirmed positive (11.6%) and 632 has been tested negative. Others are still waiting for the result  "
"952","HOOOOY! AS IN. WE’RE WORKING IN TOURISM INDUSTRY  ESPECIALLY IN AIRLINE INDUSTRY CANT HANDLE THIS LOCKDOWN NA JUD! SOME PEOPLE WANTED TO TAKE THEIR FLIGHT PERO UNSAOOOOOON HA? PLS PEOPLE DILI KAMI ANG KASAB-E. si "
"953","Kindly note this 
"
"954","Lord please heal the world. AMEN "
"955","the number of confirmed cases is close to a hundred in just a week "
"956","Not about citizenship or country anymore but pure stupidity in the  people. "
"957","Unlike an enormous asteroid that's about to hit our planet, we can, somehow, actually do something about this virus. Keep a good proper hygiene and hope they develop a vaccine very soon.  "
"958","please kaya nyo mag Win as one noong SEAGAMES , PLEASE LET'S KILL NCOV19 as one "
"959","Lord, heal the world.

"
"960","Iwasan po ang kaka brunch out, lunch out and dinner out. Wag nang tambay2x ng coffee shops and milk tea shops. 

Social distancing.
Let's follow the policies.
"
"961","Despite the Coronavirus outbreak, I'm still positive and taking my time doing what I love to do.

<U+2714>Sing &amp; Dance
<U+2714>Cook &amp; Eat
<U+2714>Write &amp; Draw
<U+2714>Post my Thoughts on Social Media
<U+2714>LOVE &amp; LIVE Healthy
<U+2714>PRAY 

Stay healthy and positive everyone!

What about you?

"
"962","""LOCKDOWN"" means, It's time to LOCK yourself in the presence of God. DOWN in your knees. It's time to restore and refocus.

"
"963","If anyone have reliable info on p2p alabang-lawton route during the quarantine period, please share! Salamat! "
"964","Hey, take this and take care. "
"965","While cleansing your hands, cleanse your soul, too.

Pray for the Philippines!

"
"966","May the good Lord protect Pres. Duterte <U+0001F64F> "
"967","stay safe and healthy everyone let's pray that this COVID-19 problems will come to an end <U+0001F64F>
"
"968","Let us also praise our journalists for giving us real-time updates 24/7 about "
"969","i’m just gonna drop this here. if you think that curfew and community quarantine’s not necessary then think again. 

take care y’all and don’t stop praying.

"
"970","Practice social distancing
"
"971","Its a health issue yet the health protocol is no where near its clarity, kanya kanya lang muna until then "
"972","I wont get apprehended right? "
"973","“ideally, the government should issue that instruction and provide a financial fallback—compensate business owners, ease the financial load on everyone as much as possible and reduce the incentive of risking your life or the lives of others just to make ends meet.”
"
"974","“no travel for leisure or business is worth the risk”
"
"975","“the only thing that helps is social restriction”
"
"976","JUST HERE ME OUT ON THIS- wat if Gawin nila like TOKHANG: but "
"977","Not TVT related but, haha!
Keep safe everyone!

Coach Bamboo
"
"978","Please keep on RT-ing this!!! A lot of people needs to be informed. <U+0001F331><U+2728>

"
"979","Be considerate of others despite the current situation. 
Don't panic. Focus on your health.

"
"980","Keep safe <U+0001F64F><U+0001F3FB>
"
"981","With revenues dropping to as much as 80 percent and hotel occupancy rates hovering between 4 to 15 percent, the F&amp;B and hospitality industries are reeling from the impacts of COVID-19 "
"982","With revenues dropping to as much as 80 percent and hotel occupancy rates hovering between 4 to 15 percent, responding to the COVID-19 crisis is an uphill climb for the F&amp;B and hospitality industry "
"983","Proud to be indian<U+0001F60E><U+0001F602><U+0001F602>  "
"984","To our dear kababayans who are now leaving Metro Manila, we understand you, and that's fine. <U+2764>

As soon as this is over, we will gladly welcome you back. <U+2764>

"
"985","From 64 to 98 positive cases of "
"986","Is it just me or you guys also feel your in a limbo with this whole quarantine situation? Like i need an orientation or something on what to do, what rules to follow and what things to prepare! "
"987","Criticisms are not bad just because you feel toxic of them. Everyone should be vigilant, critical of the people accountable, 

ALL THE TIME. right?

Not just when it’s easy.
Certainly not just for your convenience.
Definitely not just when you’re comfortable. "
"988","Ayaw paggahi'g ulo if you don't want to contract the virus.

Isa pa na: DO NOT WITHHOLD TRAVEL HISTORY UG COOPERATE WITH THE HEALTH CARE WORKERS tawon. It's simple as 1+1=2 so we can all get through this in one piece. Somehow.
"
"989","FYI Southies. Let's all be safe! "
"990","COOPERATE!!!

"
"991","Richard Heydarian: You understand that the reason PAULIT ULIT lang KAPALPAKAN is because we TOLERATE it and say ""move on na"" instead of ensuring accountability... :)

PRECISELY! Eat that DDS fools!

"
"992","don't forget to wear your masks and always use alcohol when leaving your house. it's better to be safe than sorry. 

~ reminder from "
"993","Having history of Broncho Pneumonia before, the growing number of covid-19 cases here in the Philippines makes me feel really anxious right now. 

Ang hirap magpaka-think positive kung pwede ako maging positive. <U+0001F616>

"
"994","we could’ve really used that extra 10B php "
"995","Better than sending out military personnel and putting them at risk. 
"
"996","Keep Safe and Pray <U+2695><U+FE0F><U+271D><U+FE0F><U+0001F64F>

God Bless Everyone! <U+0001F64C>
God Bless Philippines! <U+0001F1F5><U+0001F1ED>
God Bless The Whole World! <U+0001F30F> 

"
